file,duration_sec,sampling_rate,dataset,speaker_id,environment,text
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43193311.wav,9.25,16000,CommonVoice,440db700ab63de221bfaeff724c4341afcd92ab19f4d1981c5eebd886fd802f27743a3cdfa318b454ae3b406adb93491e3aecf07270e46eb0b5ef68b90251ef7,unknown,Many methods have been developed to initiate sluggish Grignard reactions.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42751082.wav,5.51,16000,CommonVoice,4959e91cc5fcd79d2a2cba49e869e5cf64bbd3f99e07a6014ffacb14f76f63766691ad79de243bfdae5cfbcaa2f8cd339a576911bda347471997b76ee4abbcd5,unknown,Its western and southwestern parts have many volcanic rocks.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42712838.wav,7.34,16000,CommonVoice,57eeac783dd977a43ff6b6809a5c6969a5424db8f8d921d233e2a6ec120986429a7223257ff29e44815805694b08a3abb76f7e8b73caf6d63b976ea30cf87d67,unknown,"Mudrocks, by definition, consist of at least fifty percent mud-sized particles."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43197727.wav,7.74,16000,CommonVoice,6042b5bbc3b353e2747913a9deed268cb531c9cb76471da048261106158293a836e75c049686d0f8607840179e29695a7a78bdf9006f6f3f7b4296ed86a108a2,unknown,Camping and fires within the park are not permitted.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43198570.wav,4.1,16000,CommonVoice,68a72aebc5e67088ad3848b429897ba4aee428f9ebb636b9cac864dd511f07a219970b55c24cfe04ea51144fe6e5aea9062175b380c23b08af768c338a055455,unknown,The series was renewed for a second season but fared much worse.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42806811.wav,5.76,16000,CommonVoice,69cbd55360c1f8df775fb787f0505af2464694b418a042465d2527adc8ca92fe8ef083494ba58c893bd2c014e04c53cb62b86156c644fd5ea54c6857420a00c8,unknown,The league also runs cup competitions.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42730925.wav,7.85,16000,CommonVoice,6ea192cc37c6c5dff650f7b62a80ad42fec5db64c3178a4d8e98d2c795a2f4b6ed9126f0fdbe05335357e24e339218dfbe2e9c7b16214b436134ccb0025472cb,unknown,This harmless snake nimbly squirms among the leaves.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42753835.wav,4.25,16000,CommonVoice,72a4d2a29138b80a2fec1446fbc456e07d7e471186b03b29dd7eef9b6c54529c5285a7adad5f620261cd2bc7efa895ce19a07b2bb3648f70bca39452587e5894,unknown,Another is rabbit in gueuze.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43211755.wav,4.97,16000,CommonVoice,74d0ca9c27230cdcdc391c8e7892fb21261fa89609901a2084393e8786cdd044abcd752beecdf4bea3bce7d05fbdbd6f0bd2e8670bc4188defbf869b51f4361b,unknown,Together they have six children and two grandchildren.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42816897.wav,4.82,16000,CommonVoice,76cdb2e27126513678d455f91a7c23bb9853eac9b3df989e87f8f5c2abf3f70744b2bde543d62725ddca21729b1ac4e21aad5a919ede81bc110bb295bd527850,unknown,So 'Cane just said I was awol.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42830129.wav,6.98,16000,CommonVoice,7725d9d99cc872a4cc5e95b1612297064c377464b8a731db72c9aff7551a3af625cabe2b0768aa4251518a4ef41850b1fbf4abe3fc7017b5e07ceb9a1ffc3216,unknown,He appears to have played there many consecutive years between January and March.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42808952.wav,5.22,16000,CommonVoice,77d55c2340189f6907410356ec639472691ce6f715fb5b36e5dce6862a94cd50a61380e94f3814420950793fbaeb7de5f242cc4bca01a611498e0fe7b2de75b0,unknown,It draws attention to them and may influence the results of the poll.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43168920.wav,6.16,16000,CommonVoice,7a28ab538b4f8acb1007bd961c1985f5bca3d35529334461c665a066936d531fe04bf4942d98da4e0f85b37c1e6319ca9206519bff7ef8b171babda9403aae1a,unknown,The suffix is used in some medical terms denoting mental disorders.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42809713.wav,5.08,16000,CommonVoice,7bcd7cf9609bc41d62192bbe649e9f31b946c088739603d4d409ddda957fce17b48949a3bf9e79ce2a78e4d7a7455f49b81f5ed43c4e2eea6a187210a48d415e,unknown,Both tours were canceled due to the Coronavirus pandemic.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42711900.wav,6.77,16000,CommonVoice,9386d33138080e4ceaf3f7196a3fa0d11b65c1a4f3f615098bab81d9aac6352d03f1c0df16a713059034cb96a447e2738853535f5a6ebea1dddb9a707c581d2d,unknown,"For example, a full backup could be performed weekly, and partial backups taken nightly."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42816075.wav,5.58,16000,CommonVoice,943ca1b77b403beaa1b491adbcca30a9e67eb320ba51c1000a65cc4690e9ed61bb0e50ab045145e72a093d59a768069b1811a5385eb726295b194785936066ba,unknown,"Her son, Marcello, is a sort of reluctant altar boy."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42810263.wav,6.34,16000,CommonVoice,98f9180c9ad97bc7036074b0acd9c4dadf7043e512bc98480f050de52758a9e34c96848e0dc5aa3592c65ceaec405702b8d07acbdf8f42984f9593b00c6bdc5e,unknown,"They are often black, bay or brown in color."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42814135.wav,8.57,16000,CommonVoice,9a826f165ee2fea15f84318aa231a17d8d94c742e13ae2dbb91fed7480b2e2e0069621e2f365c8e885b153c247ecc56a615fceaeeae63498a4de06bd36c5d687,unknown,His experiences as a schoolboy there were instrumental in his later work.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42787815.wav,4.14,16000,CommonVoice,9c2e3a2f343980687d6c73513ef7927f146f2aaa1a50c011bcf785f2520944553eca0c387730a4a1a2b1f61d994966eb89cccb4a9f2f429a8abf321e948b254c,unknown,He was a noted philanthropist.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42726291.wav,8.32,16000,CommonVoice,9dc7640cd4788a8fe0ba0976aef57009f30e120f0e711de65ce103d94cc374d9ce59cbc56195be850de4baff8b578c1cb4907d87b6f33539501450c5856807a7,unknown,The wide interior spaces created by the blending pose novel structural challenges.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43193788.wav,8.42,16000,CommonVoice,a10dbefa485ee0b7a8b8e0690147097b29c017d01ba9321adb17aaa152ab248df8430c97f6bbb6bde0eac077fecfa5bd5d16032b41b64970fa1f343b8e94c022,unknown,"Irene Dunne requested him for her leading man in ""Magnificent Obsession""."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43202293.wav,5.44,16000,CommonVoice,a738dddbf3ea8e3ed93bc6edc3dda1b2fcf8c477d9d6e389ef0871d2d91261e81c38f430a46f722754b8663ae35824abbbcd576d7cb9e7e8babcdc94cb51c801,unknown,The village has a rugby league club that also plays at The Recreation Ground.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43204237.wav,7.56,16000,CommonVoice,a88ed8630dd33b8196cc48fb8188ed49d8b3739977d72b756fb0a2518807e80d044339c02286c70f93a3e22303255b43c856c1b0dc98461e61279e0beb034a3d,unknown,"Five of the units are two bedroom, one bath."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42750361.wav,3.74,16000,CommonVoice,add89f9035cd366fd8fd4d9db4f5d0eccc3a5fd9f3cbb8ed2c3e9af82d904399873da0b7dd7f58bb69b8c931138b61c30d524411d1bf39cdd9337c2374fe6bd3,unknown,The Great Hall also had an organ.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42767185.wav,6.48,16000,CommonVoice,b20e20c4afc0b92ca97cc19175ff66fcf1a93836b1b7f8ca748ffbdae266095f7744a75107d769fad8095fa5e0ed6cf94b0bbaddd0cf9b96ebccb3716581b212,unknown,"That year, the club reached fourth place in the local championship."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43193984.wav,6.3,16000,CommonVoice,b3af1ea903c9959897c309b394dd054ab15ba0809ac4cbaf08c1b4397b5200b9e8bd6e9e61f7e1bfe6eaf110f74aa31cd20c3578b659b793ad2b63968a5f3887,unknown,All plumbing codes require backflow prevention in several ways.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43196248.wav,8.71,16000,CommonVoice,b53ab2a03826d5874fc7c868b552af8afd18afc0e958ff8bc23af7390a305c6fcbd8f88d92c21150e1fd295f40db2afa4db4b04be475c9222e90e64860391b5c,unknown,"This technique she labeled ""polyphonic prose""."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43203141.wav,9.68,16000,CommonVoice,b5b5b95f12d925c46d8e2210a7df4a16e074508af58cd9bff5f2f6c85bdddf142540f68198aadbc317e2fd6f2518c7c2df640da05aa88fb9be6cd22e044eaac6,unknown,This first Buddha manifested five of his attributes as five secondary Buddhas.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42835670.wav,5.94,16000,CommonVoice,b7d6bea2f5d878b466ddc83b3a2d398aacd62aa564160fed62f0e9f8831f7d347a07b8631e92bdf77c54582d6bab096f551752a5bdb61d14fddc2e2fb6e036c0,unknown,He returned to Cabinet seven months later as Minister of Fisheries and Oceans.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42789325.wav,6.19,16000,CommonVoice,bcacbd20b21ae74bdd0da80bcb887c5f68a9d7d43f6431457ae65401e720ad49ead9173e446dfbcf054a134ffa917b31d8b2506c2d7fe12f9f21b2057d4eea3e,unknown,"For many years after Galien was established, he was president of the village."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43225233.wav,9.22,16000,CommonVoice,bf688efd1e1e15264a0028491f5b7e07303b19f43dcd69d06004ad98c03fe764491e16e2ddef5498f02f582dfb62b9a337a143abaec83f6789310c906cab6364,unknown,"The unincorporated communities of Choate, Freeman, Lily, and Pickerel are located within the town."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42744683.wav,4.9,16000,CommonVoice,c064adf678b11ccb6070c893519a468158376a5d16990accbb8a77adbb7caf14bab565363e297fdbfaa0506b2e6deeec757345ab6f0d4265bac1e8f355c49e2c,unknown,"Every friend we make, is a new connection made."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42745074.wav,6.84,16000,CommonVoice,c1a71237085b022f2c0dea2bd668bfbc7e9ee74c8be807b622c2137450199300cb44839d0f54e5962ef3797bbd28b064852b9c2ebb75b23230f2009e3f7c2a71,unknown,Significant memorial plaques were to be set up at both locations.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42791979.wav,10.62,16000,CommonVoice,c31a2eb8c273b840d3214e5d127ba81c0a80fe7f84a65f42cde962bed5088ce8239722c5a943685dc689f7be177f38760778a222e67bd87a0c0c32100da490c1,unknown,"This version also featured a bonus track called ""Hollywood Teaze""."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42812836.wav,8.89,16000,CommonVoice,cb07fe2d56d98c963c2b6cf7f71fd8ae328a1035ce63e9a1065c73593abac8c2fe2175db360b70af53c658a4cc48004622b8f5a6d20a203769aa7208cd5e7181,unknown,Aina hii huvumilia hali ya jua kali.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42943363.wav,5.94,16000,CommonVoice,d3de90b0780552e1f844317df523a27ad670a2f5dcae5933eec2de64ada2e58617732a481cfea29d6364c13084843f13bcc286caffdfb5a7094ac25cb2e36cdd,unknown,"Saint Benedict offers a wide variety of academic, athletic and technical programs."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42763081.wav,5.62,16000,CommonVoice,dedeff164fccda6edfa6a7725f00d39cfa2f0d5a0b9efc47c3885e6c5b5859e98a812f038b1e5caf2ba705f19b3979aa4a5cde59f5071d44049b72b5a06fc4c8,unknown,They have no lateral line and have a protruding lower jaw.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43406505.wav,12.24,16000,CommonVoice,f4d2516d878b2fc3b099914b5c7089abec30827a452b7200bc282a7f299f83c780e38371380cef31faf101439a5965b0edd9c0231c4964fda221c96c0bc462fb,unknown,Owen Roberts International Airport serves Grand Cayman with domestic and international flights.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42814267.wav,9.36,16000,CommonVoice,f6ba830a5b3846f3ad96175616785e5dfbfc6b378ff890b7316482de915fcfc9ba2b5b0d9a1d0934302e1a4bb830ff6a07439e715822a6b73970a3dcd2cee49f,unknown,The attribution of human general qualities to divine beings may be called anthropopathy.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43188894.wav,6.12,16000,CommonVoice,f88785df269f75d918bd9dbb3a967cd430645b0f612a31374f609346c9b0cbae373c10697f965ed0b1c83d3ba4b8fc4f651290d599370808e4826c7acdb63d75,unknown,"For example, consider consumption of cheap fast food versus steak."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42797769.wav,9.47,16000,CommonVoice,fe8f9edf7d7fcbf6c2523c0fae46e2833189a776baf7e95dcde1228e87d3c2487f768ee27d50e67e576aa5dcba9eb7ccecff45779243a5d81ff582beb807b4e5,unknown,"Similarly, nature with its diversity taught him the cosmic vitality hid from those unwary."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42814003.wav,5.04,16000,CommonVoice,250865835380a9b8bd3c5e06e96fef3af22b314fda5005ed2a570c73f8dd7ed10313e00edf4cdef4195d0b6e6471ac114dcfe579c9f7e96f0260600c23320d4f,unknown,"As I stepped onto the plane, I was amazed at how big it was."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42814024.wav,9.11,16000,CommonVoice,250865835380a9b8bd3c5e06e96fef3af22b314fda5005ed2a570c73f8dd7ed10313e00edf4cdef4195d0b6e6471ac114dcfe579c9f7e96f0260600c23320d4f,unknown,Musical styles represented range from the very traditional Mexican folk to electronic music.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42812009.wav,4.86,16000,CommonVoice,2e35c72991f5a62c0d74751f899d2b79dcf653684843e85bd45dd139ea10c229d1cce746522010c9faf0b74cbac56137be56f6fc10ca418307457b1e4046803b,unknown,They had five children and four grandchildren.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42812198.wav,4.79,16000,CommonVoice,2e35c72991f5a62c0d74751f899d2b79dcf653684843e85bd45dd139ea10c229d1cce746522010c9faf0b74cbac56137be56f6fc10ca418307457b1e4046803b,unknown,Sato is an external director on the board of Hitachi.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42785961.wav,5.9,16000,CommonVoice,30d9e3ee6f29d59606a69be2beea9a6d18d19222445018d1b47b31d32f3e3c845f0a31c3e6aed53831adfe5871fb22926f84e8c271e3ba996618a89414afd3dc,unknown,We need not wonder that he does not exercise it.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42785968.wav,2.81,16000,CommonVoice,30d9e3ee6f29d59606a69be2beea9a6d18d19222445018d1b47b31d32f3e3c845f0a31c3e6aed53831adfe5871fb22926f84e8c271e3ba996618a89414afd3dc,unknown,That is home
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42814462.wav,5.04,16000,CommonVoice,3d40d75a6dc5bdfc0ef5ed3b3e9f22d1875da0c29cf714e6acad7c24886f5d25e92a2dd62f078839e0c0797de56c10e915d6f2186a4d6b9822af2876b132be92,unknown,Today he believes that both the Green Party and Left Party are opportunistic.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42814559.wav,3.53,16000,CommonVoice,3d40d75a6dc5bdfc0ef5ed3b3e9f22d1875da0c29cf714e6acad7c24886f5d25e92a2dd62f078839e0c0797de56c10e915d6f2186a4d6b9822af2876b132be92,unknown,I’m very glad they’ve called Mr. Allan.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42831657.wav,5.72,16000,CommonVoice,549132dfe2373a523b2e438a09631b36f17258826c1d7cbfd9066e7acd3e0e22b761107ea9196c55b7b161628ce527eada5e5676a11676f4fa536c6dbe271965,unknown,"The Muslim members wanted to join the nationalists, but not the Europeans."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42831673.wav,5.69,16000,CommonVoice,549132dfe2373a523b2e438a09631b36f17258826c1d7cbfd9066e7acd3e0e22b761107ea9196c55b7b161628ce527eada5e5676a11676f4fa536c6dbe271965,unknown,"Later in her life, Cornelia studied literature, Latin, and Greek."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43195536.wav,8.5,16000,CommonVoice,5e89a850e40e3b03fa734c6f72ed77a570db2dfd7f7143b5409fa8761666f2c48ce85964c881e264ecd18174fc5380df010bb990296daa27bee90885e8a302b3,unknown,It is the major cause of orbital decay for satellites in low Earth orbit.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43195537.wav,8.89,16000,CommonVoice,5e89a850e40e3b03fa734c6f72ed77a570db2dfd7f7143b5409fa8761666f2c48ce85964c881e264ecd18174fc5380df010bb990296daa27bee90885e8a302b3,unknown,The beaches of Trentova Bay contribute to make Agropoli an important seaside resort.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43203251.wav,4.61,16000,CommonVoice,70bc81c95f635305547cfceab94a57cdb8dddf01d84523f819b1c9188718408dc517fa069200768174b7fa0775470a1af8e42f5d00619c4f235bcaf04f56d811,unknown,Animal husbandry concentrates on meat and milk production.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43203326.wav,5.08,16000,CommonVoice,70bc81c95f635305547cfceab94a57cdb8dddf01d84523f819b1c9188718408dc517fa069200768174b7fa0775470a1af8e42f5d00619c4f235bcaf04f56d811,unknown,The transformation usually occurs when the individual reaches middle age.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42765024.wav,9.72,16000,CommonVoice,90a92d42538b10076407dd62fda48be5c912c7299cba7d8d3708d42018098978378a7f4f2d84a724878bb2e8bf1dfda5c25ebc280a750439ff9670221133effb,unknown,This comes off the back of his recent shaping experience with Machado creations boards.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42765051.wav,7.2,16000,CommonVoice,90a92d42538b10076407dd62fda48be5c912c7299cba7d8d3708d42018098978378a7f4f2d84a724878bb2e8bf1dfda5c25ebc280a750439ff9670221133effb,unknown,Not recognized internationally as a part of Russia.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42815717.wav,6.48,16000,CommonVoice,955303cad79c3fcd8d096d5d9de1d2a8df179377475537ed8c5d2dbdadf6cb6d74c9c6e0c5ceb0db2f8bc6c99611b800db8974b3c6997604a0e41c8af672223e,unknown,The possible effect of platform capitalism on open science has been discussed.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42815757.wav,7.06,16000,CommonVoice,955303cad79c3fcd8d096d5d9de1d2a8df179377475537ed8c5d2dbdadf6cb6d74c9c6e0c5ceb0db2f8bc6c99611b800db8974b3c6997604a0e41c8af672223e,unknown,The Rooftop Restaurant and Bar overlooks both the river and the Bancroft Gardens.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43160566.wav,5.0,16000,CommonVoice,a97730f86fa90560ae105669364412a9ad393b32839d0151236604af188212aab60bf5168a7975fdd0a448dd3131543f5c0032e737a7164b41e9d9d85ffd6660,unknown,More than half of the show was shot on bluescreen.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43173951.wav,4.36,16000,CommonVoice,a97730f86fa90560ae105669364412a9ad393b32839d0151236604af188212aab60bf5168a7975fdd0a448dd3131543f5c0032e737a7164b41e9d9d85ffd6660,unknown,However he could not find a publisher for the work.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42975525.wav,4.68,16000,CommonVoice,d57d24224ffd169481cf2e49752f4ededc5206cbc5f328b48159ab4f52627121ca1c1ad803177f205c65786b1c5a55a7a93e14f9e37fe7efab6848982bbcb99e,unknown,Samuel Taylor Coleridge was one early advocate of this.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42975589.wav,5.44,16000,CommonVoice,d57d24224ffd169481cf2e49752f4ededc5206cbc5f328b48159ab4f52627121ca1c1ad803177f205c65786b1c5a55a7a93e14f9e37fe7efab6848982bbcb99e,unknown,"Additionally, the convenience of having a wearable device on my wrist appeals to me."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42970620.wav,7.6,16000,CommonVoice,e0d6071ef72d084cdf3e346406366e251a3beb917b46bc9d6dc62e6c84d827b9a1be5789df18930ecb3c1de74293b658cde7a0aae30b9c109309f41ac4fe05df,unknown,The following day they returned to Wonsan two fly two more strikes.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_42977065.wav,5.51,16000,CommonVoice,e0d6071ef72d084cdf3e346406366e251a3beb917b46bc9d6dc62e6c84d827b9a1be5789df18930ecb3c1de74293b658cde7a0aae30b9c109309f41ac4fe05df,unknown,The weapon can also be used against bunkers and pillboxes.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43375391.wav,5.44,16000,CommonVoice,e431eafe9b69a4e3ce94affce4f53cbbd3f3405449676d313de5081c42a610ec208f09e4c626991703c2fb228b51af409084267fed8deda1888804c2aef01459,unknown,The orders of architecture were initially invented by the ancient Greeks.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43375393.wav,6.12,16000,CommonVoice,e431eafe9b69a4e3ce94affce4f53cbbd3f3405449676d313de5081c42a610ec208f09e4c626991703c2fb228b51af409084267fed8deda1888804c2aef01459,unknown,"A year later, the city becomes ravaged by zombies."
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43199085.wav,6.12,16000,CommonVoice,eea3665333949b9276f0ac5ad1b52d555928923b77e0abfc385c4267cc4f7b6a54a9f00c2c6c0bcbc2fc17dbb02fb282e003d197d3d25dec36e6ff8d52d3e83c,unknown,The articles were collected into two books and a record album.
cv-corpus-22.0-delta-2025-06-20\en\clips\common_voice_en_43199122.wav,7.56,16000,CommonVoice,eea3665333949b9276f0ac5ad1b52d555928923b77e0abfc385c4267cc4f7b6a54a9f00c2c6c0bcbc2fc17dbb02fb282e003d197d3d25dec36e6ff8d52d3e83c,unknown,Laurence Court is a short street in the Bootleggers Cove neighborhood of Anchorage.
